Gender,Employment,First Generation Indicator,New to Ames,Classification,Favorite Restaurant,Favorite Food Type,# Caffeinated Drinks,Height (inches),Shoe size,Length of Relationship,Technology effects,Age for Electronics,Football,Enthusiasm
male,Full-time student,No,Yes,Sophomore,The Cafe,I like all types of food;I do not have a preference.,2,71,12,0,No,14,No,True
male,Full-time student,No,Yes,Sophomore,My favorite restaurant in Ames would have to be El Azteca,Mexican cuisine,0,72,11,9,No,13,Yes,True
female,Full-time student,No,No,Sophomore,El Azteca,American cuisine,1,65,7.5,6,Yes,13,Yes,True
female,Part-time and/or working student,No,No,Sophomore,Jeff's Pizza,I like all types of food;I do not have a preference.,2,59,7,5,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,"Mandarin, B-Bops, West Towne Pub,El Azteca...(not in a specific order)",I like all types of food;I do not have a preference.,1,70,11.5,6,Yes,13,No,True
female,Full-time student,No,No,Sophomore,Fuji Steakhouse,European cuisine,2,65,9,5,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Mr. Burrito,European cuisine,0,71,11,31,No,13,Yes,True
male,Full-time student,Yes,No,Sophomore,Taste Place,Asian cuisine,0,67,11,48,No,12,No,True
male,Full-time student,No,Yes,Sophomore,Brick City Grill,American cuisine,0,70,12,14,Yes,10,Yes,True
male,Full-time student,Yes,Yes,Sophomore,The Cafe' on North Ridge Parkway.,I like all types of food;I do not have a preference.,1,76,10.5,5,Yes,13,Yes,True
male,Full-time student,No,No,Junior,Wallaby's,American cuisine,1,77,11,18,Yes,14,Yes,False
female,Full-time student,No,No,Junior,Dublin Bay,Asian cuisine,0,67,10.5,19,Yes,13,Yes,False
male,Full-time student,Yes,No,Junior,The Café,Asian cuisine,0,71,9.5,2,No,16,Yes,True
male,Full-time student,Yes,No,Sophomore,Blaze Pizza,I like all types of food;I do not have a preference.,2,70,10.5,5,Yes,15,No,True
male,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,2,67,9.5,0,No,12,Yes,False
male,Full-time student,No,No,Sophomore,Not sure,American cuisine,1,71,11.5,35,Yes,16,Yes,True
male,Full-time student,No,Yes,Sophomore,My favorite restaurant would have to be Texas Road House.,Mexican cuisine,0,71,10.5,11,No,7,Yes,True
female,Full-time student,No,No,Sophomore,Pepperjax Grill,American cuisine,0,66,8,0,No,15,Yes,True
male,Full-time student,No,No,Sophomore,I absolutely love the food and drinks over at Stomping Grounds.,Asian cuisine,0,68,10,3,Yes,14,Yes,True
male,Full-time student,No,Yes,Sophomore,Jeff's Pizza,I like all types of food;I do not have a preference.,2,74,12.5,2,No,14,No,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,70,9.5,4,No,13,Yes,True
female,Full-time student,No,No,Sophomore,Stomping Grounds,Asian cuisine,2,65,8,36,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Fuzzy's,Mexican cuisine,3,66,7,6,Yes,13,Yes,True
female,Full-time student,Yes,No,Junior,The Cafe,I like all types of food;I do not have a preference.,1,66,9,36,No,14,No,True
male,Full-time student,No,No,Sophomore,Blaze,Mexican cuisine,0,72 in.,11.5,25,Yes,13,Yes,True
female,Full-time student,Yes,No,Junior,Red Lobster,American cuisine,1,64,8.5,22,No,13,Yes,True
male,Full-time student,Yes,Yes,Senior,Noodles and Company,American cuisine,1,70,11.5,2,No,10,Yes,False
